temperature_celsius,rainfall_mm,sunlight_hours,soil_ph,soil_moisture,nitrogen_kg_ha,phosphorus_kg_ha,potassium_kg_ha,yield_kg_per_hectare
30.32080520867425,140.2200444093533,4.5816234791188615,6.855345350702969,0.46826481053071206,74.75480344388345,73.20772406028053,68.56398963564712,6404.265165024235
18.32977512351263,154.3787911382657,4.9702466598676915,5.593284169722797,0.3010219642368851,99.07706224047641,78.97601044930803,32.52932770471253,6300.281878595574
17.804186277063856,53.33968257454933,8.240520013680044,5.531516015130244,0.3695854284300496,82.13181774531579,62.09363395554273,65.62434679377182,5469.407606692565
25.956821459999105,202.42882389887802,5.928524626611774,7.185369102939717,0.5299944066802106,67.62554402881149,37.0452755123588,65.75041238867568,5943.4613156103305
16.679189624074482,158.02807465571044,6.158446955561924,6.796109472131407,0.579587052298369,104.358976549789,28.725498755638867,78.33793305799063,5960.760473982366
26.535188008719288,102.40305311681037,5.868014144587689,6.437987426447786,0.2811869667254773,83.35865476467117,63.95000760432298,62.96232059488787,6014.844877620155
30.78860683066634,172.67326299136212,9.047173823759742,6.24224941013446,0.267936441234201,72.14853155682034,32.65660460654651,60.15100123836068,6059.334849936869
32.08887588824383,230.20107829511508,9.08581263576999,6.701805650694726,0.4088668648562104,105.48059546357395,62.59957363709723,82.94799365514177,7160.736228676237
21.434113526097885,100.50369947336424,5.331949845553229,6.730421920106853,0.2867655501365427,108.43454547368864,36.263892498927085,69.55122756862761,5754.65233820374
16.384073847790834,84.18799558620475,8.08092438599478,6.996206363069747,0.48167783610627773,90.1047761499744,74.13890226487672,49.13797757218871,5960.0023210622585
31.91580137096992,71.35941084813845,8.411383223849324,6.339140818605556,0.2745562202741799,40.356495835907495,39.76944588459472,85.29376594215424,5458.136722836363
34.8491306672451,155.36508402165418,8.827878520067665,6.705509497018732,0.5839779841067443,70.8312985057502,59.508859320997416,35.642454650138106,6319.579449829775
17.992954630649635,169.29370083400585,7.321298492953009,6.183714502702694,0.5290521718791925,76.88129313275624,32.637630232403104,78.05288387890315,5888.811459817451
26.7817120013707,135.61555197274504,5.271116815182685,5.552316433946765,0.25786847557314957,83.89345348023707,72.20520716973559,42.99753188981737,6001.250633442096
32.63470157563044,88.1447497975371,9.776527583611875,6.2902892777770205,0.4743172456799357,49.498139746034646,72.60123040108306,44.46656676278836,5923.58503917564
21.134616729767203,84.30882411979943,6.860457686022389,6.159481936039218,0.46411448177744613,97.53792386629348,20.094338082152575,42.54810676665176,5166.448117349017
27.998255786174134,124.34041211842026,4.937609076016354,5.765498896450309,0.4905428362082055,68.27100885358061,20.52022960431479,50.36924241361139,5331.159784021524
15.605296974086102,224.55911748934062,8.163827353936865,6.452798459186781,0.32707747923111125,92.13765783410051,27.314611112258653,74.31814379418118,6278.329777246455
24.4189805774344,201.41665433345625,8.97591410594936,6.918107677145438,0.2265460841256508,85.2980598144988,41.504982603907806,46.22643171335223,6265.179930349727
32.23880805407817,219.3892660671309,6.012406585789506,6.028614815547751,0.5962816093417858,81.69045731736439,57.48279264701609,48.61444953629742,6454.765910929112
27.346111570840748,137.99525605558838,6.293363901872377,6.788817389466439,0.53506103979131,64.9623641510647,72.14976618959022,38.0200606713099,5961.348569064463
